Type;District;Rooms;Vacancies;Suites;Area;Value;Condominium;Taxes
Apartment;Recreio dos Bandeirantes;3;2;1;102;1850;882;
Apartment;Tijuca;1;0;0;65;1200;320;
Apartment;Barra da Tijuca;2;1;0;60;1500;1266;233
Apartment;Copacabana;4;1;2;210;13000;2200;650
Apartment;Maracanã;3;2;3;158;2400;1265;
Apartment;Barra da Tijuca;2;1;1;83;2000;1548;260
Apartment;Laranjeiras;5;2;1;400;9000;3000;
Apartment;Barra da Tijuca;3;1;1;84;1900;1103;212
Apartment;Freguesia (Jacarepaguá);3;1;1;77;1600;850;165
Commercial Set;Recreio dos Bandeirantes;0;1;0;24;650;530;170
Apartment;São Conrado;4;4;4;510;25000;6600;
Apartment;Tijuca;3;0;0;75;1800;350;
Apartment;Ipanema;3;1;1;126;5500;1400;2000
House;Lins de Vasconcelos;2;0;0;40;950;;50
Apartment;Leblon;4;2;2;250;17500;4990;620
Commercial Set;Botafogo;0;8;0;463;92600;11843;14355
Commercial Set;Centro;0;0;0;190;4500;886;
Commercial Set;Centro;0;0;0;185;3000;10046;462
Commercial Set;Centro;0;4;0;230;7000;3130;1202
Commercial Set;Centro;0;0;0;55;1760;1420;
Apartment;Copacabana;4;2;2;436;17000;3900;1000
Commercial Set;Recreio dos Bandeirantes;0;1;0;80;2800;560;
Apartment;Freguesia (Jacarepaguá);3;3;2;173;3200;1800;
Apartment;Tijuca;2;1;1;71;1500;600;
Apartment;Barra da Tijuca;2;1;1;81;1900;1200;121
Condominuim House;Barra da Tijuca;4;2;4;595;30000;2500;2510
Apartment;Leblon;3;1;0;87;3800;970;273
Store/Hall;Copacabana;0;0;0;13;1500;520;95
Store/Hall;Barra da Tijuca;0;1;0;95;15000;1800;1000
Commercial Set;Centro;0;0;0;150;4000;2000;700
Condominuim House;Recreio dos Bandeirantes;4;4;4;267;6500;700;3308
Apartment;Laranjeiras;4;1;2;288;7000;1870;582
Commercial Set;Barra da Tijuca;0;1;0;25;1000;450;
Apartment;Recreio dos Bandeirantes;1;1;1;102;1900;688;
Apartment;Leblon;2;1;0;70;4200;1100;200
Apartment;Cidade Nova;1;0;0;46;1000;;
Apartment;Pilares;3;0;0;65;1200;350;16
Store/Hall;Barra da Tijuca;0;1;0;50;1100;1338;
Apartment;Barra da Tijuca;3;3;2;169;6500;1886;450
Kitchenette;Copacabana;1;0;0;23;1000;562;
Apartment;Laranjeiras;3;1;1;90;2400;1311;
Apartment;Tijuca;2;0;0;50;1800;347;25
Apartment;Olaria;1;0;0;39;800;;
Apartment;Ipanema;3;1;1;140;6500;1800;506
Apartment;Campo Grande;2;0;0;60;800;380;
Apartment;Ipanema;4;1;1;170;12000;1210;4222
House;Tijuca;4;1;1;191;4000;300;
Apartment;Centro;1;0;0;35;1350;420;24
Apartment;Tijuca;2;0;0;63;1400;440;61
Condominuim House;São Conrado;3;2;1;250;5500;750;500
Apartment;Copacabana;3;1;0;112;3800;1123;286
Store/Hall;Barra da Tijuca;0;8;0;500;38000;;4971
Apartment;Leblon;3;0;1;85;8500;;1719
Apartment;Tijuca;3;1;0;129;1800;850;116
Apartment;Barra da Tijuca;4;3;3;160;8600;2300;250
Commercial Set;Centro;0;0;0;100;2800;1500;490
Apartment;Recreio dos Bandeirantes;2;1;1;93;1400;1300;
Apartment;Freguesia (Jacarepaguá);3;1;1;93;1800;650;95
Apartment;Barra da Tijuca;1;1;1;60;2200;1600;350
Commercial Set;Cidade Nova;0;20;0;2160;129600;60480;
Apartment;Taquara;2;2;0;55;790;350;
Kitchenette;Centro;1;0;0;33;990;463;25
Apartment;Copacabana;2;0;0;54;1800;590;
Commercial Set;Centro;0;10;0;1136;136370;22728;5682
Commercial House;Glória;0;0;0;139;16740;1953;139
Flat;Arpoador;1;1;1;55;3000;1865;337
Apartment;Catete;2;1;1;70;3300;1365;180
Apartment;Copacabana;5;1;3;390;10000;1000;1000
Apartment;Maracanã;2;1;0;53;1300;492;16
Apartment;Tomás Coelho;2;0;0;70;800;;
Apartment;Botafogo;1;0;0;35;1000;293;86
Apartment;Tijuca;3;1;0;164;3500;1310;257
Apartment;Jacarepaguá;2;1;1;60;1200;524;13
Apartment;Água Santa;2;1;0;50;850;280;12
Apartment;Botafogo;2;1;1;79;4315;1110;187
Apartment;Recreio dos Bandeirantes;2;1;1;80;1600;615;3
Apartment;Tijuca;1;0;0;36;1300;295;24
Apartment;Jardim Oceânico;4;4;3;190;5700;1069;808
Apartment;Freguesia (Jacarepaguá);3;1;0;84;1500;900;
Apartment;São Cristóvão;2;0;0;50;1000;600;
Kitchenette;Copacabana;1;0;0;26;1400;370;21
Store/Hall;Recreio dos Bandeirantes;0;2;0;140;3990;1410;968
Whole Building;Campo Grande;0;0;0;650;35000;;
Condominuim House;Barra da Tijuca;4;4;4;1000;30000;2695;23715
Commercial Set;Centro;0;0;0;120;3000;1380;507
Apartment;Ilha do Governador;3;1;0;83;1500;440;132
Apartment;Olaria;2;0;0;90;1000;150;
Apartment;Humaitá;1;0;0;57;3990;860;100
Apartment;Maracanã;3;1;0;95;2500;600;80
Village House;Jardim Sulacap;2;1;2;115;1600;1;60
Apartment;Leblon;4;2;2;200;11000;2900;580
Store/Hall;Del Castilho;0;0;0;85;6500;;398
Apartment;Barra da Tijuca;2;1;1;63;1900;824;
Apartment;Gávea;2;1;1;100;3900;1300;320
Apartment;Ipanema;3;2;1;165;7500;2200;532
Shed/Warehouse;Santo Cristo;0;0;0;1096;12000;;1771
Commercial Set;Centro;0;0;0;145;3800;1400;413
Apartment;Ipanema;3;2;2;160;6000;3500;4600
Commercial Set;Flamengo;0;0;0;32;1300;400;
Apartment;Flamengo;1;1;0;48;2100;580;70
Apartment;Leblon;2;1;1;87;4800;1300;361
Village House;Oswaldo Cruz;1;0;1;40;800;;
Apartment;Barra da Tijuca;3;1;1;105;2500;1400;1500
Shed/Warehouse;Bonsucesso;0;3;0;404;15000;;370
Condominuim House;Freguesia (Jacarepaguá);2;1;0;163;1800;92;46
