Type;District;Rooms;Vacancies;Suites;Area;Value;Condominium;Taxes
House;Grajaú;3;1;0;294;3500;;
Apartment;Taquara;1;0;0;30;700;;
Apartment;Leblon;4;2;1;170;9700;2200;
Apartment;Ipanema;4;1;3;250;10000;2300;1037
Apartment;Copacabana;2;1;1;230;12000;2133;840
Apartment;Recreio dos Bandeirantes;1;1;1;52;1400;511;
Apartment;Recreio dos Bandeirantes;3;1;2;82;1500;484;
Flat;Botafogo;1;1;1;44;2500;850;120
Apartment;Campo Grande;2;0;0;60;1200;500;
Commercial Set;Centro;0;12;0;2598;207859;38974;
Shed/Warehouse;Bonsucesso;0;0;0;426;6900;;
Kitchenette;Flamengo;1;0;0;29;950;400;
Apartment;Recreio dos Bandeirantes;3;1;1;88;2000;850;200
Apartment;Recreio dos Bandeirantes;3;2;1;92;2000;500;154
Apartment;Ilha do Governador;2;1;1;90;2400;405;170
Apartment;Senador Vasconcelos;2;1;1;60;1000;180;
Commercial Set;Flamengo;0;1;0;36;1000;1400;200
Apartment;Anil;2;1;0;50;900;350;1350
Store/Hall;Barra da Tijuca;0;1;0;85;2000;1505;1272
Apartment;Copacabana;3;0;1;120;2800;1050;100
Condominuim House;Recreio dos Bandeirantes;4;2;4;185;2600;900;300
Apartment;Leblon;3;2;1;140;7500;2000;800
Apartment;Barra da Tijuca;4;2;1;350;20000;3950;1900
Apartment;Leblon;3;0;0;120;3500;950;
Apartment;Freguesia (Jacarepaguá);2;1;0;55;1000;450;
Commercial Set;Centro;0;0;0;30;400;500;79
Commercial Set;Barra da Tijuca;0;2;0;72;4300;1450;2165
Apartment;Estácio;1;1;1;32;1000;409;14
Commercial Set;Barra da Tijuca;0;1;0;35;1500;1315;367
Apartment;Tijuca;2;1;0;65;1200;640;97
Apartment;Barra da Tijuca;1;1;1;60;1800;1000;256
Apartment;Botafogo;6;2;3;330;18000;2300;1109
Apartment;Barra da Tijuca;2;1;1;52;1300;480;140
Apartment;Tijuca;3;1;1;125;2400;870;141
Apartment;Copacabana;1;0;0;55;1900;678;28
Apartment;Tijuca;2;1;0;80;1000;614;
Apartment;Leblon;4;1;1;290;12000;4500;650
Apartment;Barra da Tijuca;4;3;4;230;8000;1902;378
Apartment;Flamengo;1;0;0;30;1200;570;
Kitchenette;Flamengo;1;0;0;29;900;555;25
Apartment;Praça Seca;2;1;0;60;1100;400;12
Commercial Set;Centro;0;0;0;551;12500;10593;2759
Apartment;Humaitá;3;1;0;95;3000;806;
Condominuim House;Campo Grande;3;2;3;220;3000;100;50
Apartment;Rocha;2;1;0;66;1000;418;
Commercial Set;Centro;0;8;0;801;152291;30154;
Apartment;Lagoa;3;3;3;490;16000;6838;1197
Commercial Set;Barra da Tijuca;0;56;0;1760;100000;48340;920
Commercial Set;Centro;0;4;0;640;57600;16640;3282
Apartment;Botafogo;3;1;1;108;3800;887;1
Commercial Set;Barra da Tijuca;0;1;0;30;1200;1050;250
Apartment;Botafogo;3;1;1;105;5800;1330;354
Commercial Set;Jacarepaguá;0;1;0;38;1000;1100;
Apartment;Taquara;2;1;0;60;1000;508;14
Apartment;Ipanema;3;1;2;190;16000;850;
Apartment;Copacabana;4;0;1;70;3500;;
Store/Hall;Campo Grande;0;1;0;18;450;305;
Apartment;Botafogo;3;1;1;90;3400;900;1500
Apartment;Jardim Botânico;4;3;3;340;15000;3000;1416
Apartment;Copacabana;2;1;0;62;4000;;
Apartment;Barra da Tijuca;5;3;4;307;10000;3035;711
Apartment;Engenho de Dentro;2;1;1;51;1200;541;
Condominuim House;Barra da Tijuca;4;4;4;300;9000;934;8865
Commercial Set;Centro;0;0;0;74;3000;1050;2626
Commercial Set;Recreio dos Bandeirantes;0;1;0;23;600;400;112
Apartment;Ipanema;1;0;0;60;3500;780;
Apartment;Recreio dos Bandeirantes;3;2;1;80;1800;670;207
Apartment;Laranjeiras;2;1;1;86;2800;1219;213
Apartment;Copacabana;3;1;2;225;8000;2150;
Commercial Set;Centro;0;0;0;94;4000;1130;
Commercial Set;Barra da Tijuca;0;1;0;36;1125;700;250
Commercial Set;Barra da Tijuca;0;1;0;34;1500;1200;
Commercial House;Freguesia (Jacarepaguá);0;6;0;515;10000;;2279
Whole Building;Barra da Tijuca;0;0;0;600;10000;;
Apartment;Copacabana;3;1;0;90;4500;;
Apartment;Leblon;1;0;0;38;3800;1800;170
Kitchenette;Botafogo;1;0;0;18;900;463;
Apartment;Engenho de Dentro;1;0;0;32;800;;
Shed/Warehouse;São Cristóvão;0;10;0;4000;240000;;
Commercial Set;Centro;0;0;0;148;1500;990;240
Apartment;Barra da Tijuca;3;2;3;129;3950;1645;334
Apartment;Copacabana;3;2;1;150;6000;1500;350
Apartment;Tijuca;2;1;0;65;2000;600;
Apartment;Ipanema;3;3;3;794;90000;9188;6024
Commercial Set;Centro;0;0;0;40;1000;;125
Store/Hall;Leblon;0;0;0;90;14000;;
House;Glória;7;2;0;883;40000;;1040
Apartment;Laranjeiras;2;0;0;70;2000;800;85
Apartment;Flamengo;1;1;0;47;2200;380;30
Village House;São Cristóvão;1;0;0;45;1000;;15
Commercial Set;Botafogo;0;2;0;100;5000;3092;552
Condominuim House;Freguesia (Jacarepaguá);4;2;4;179;3900;800;233
Apartment;Freguesia (Jacarepaguá);2;1;1;70;1700;800;80
Apartment;Barra da Tijuca;4;2;2;160;4700;1700;690
Apartment;Barra da Tijuca;1;1;0;64;1750;1177;219
Apartment;Recreio dos Bandeirantes;2;0;1;80;1000;1100;230
Commercial Set;Pechincha;0;0;0;48;750;220;45
Apartment;Botafogo;2;0;0;73;2400;590;141
Village House;Lins de Vasconcelos;2;0;0;50;900;;
Commercial Set;Santo Cristo;0;48;0;3600;234000;69000;
Apartment;Copacabana;2;1;1;60;2500;1603;
Apartment;Ipanema;5;2;1;328;15600;3350;619
Condominuim House;Recreio dos Bandeirantes;4;3;3;420;8500;1000;1070
Shed/Warehouse;Gamboa;0;0;0;136;1900;;217
Apartment;Recreio dos Bandeirantes;3;1;2;83;1700;870;193
Village House;Vila Isabel;1;0;0;32;1000;125;12
Commercial Set;Barra da Tijuca;0;1;0;35;1000;760;249
Apartment;Ipanema;2;1;1;85;10000;4000;614
Apartment;Lagoa;3;2;2;376;20000;4878;1383
Apartment;Leblon;3;2;3;160;9000;1700;700
Apartment;Tijuca;3;0;1;50;2900;900;
Commercial Set;Recreio dos Bandeirantes;0;1;0;15;650;516;112
Apartment;Jardim Botânico;3;1;0;80;4000;1000;163
Commercial Set;Tijuca;0;2;0;63;2999;1800;160
Apartment;Maracanã;2;1;0;71;1500;650;50
Apartment;Jardim Guanabara;1;1;0;53;1500;310;19
Apartment;Rio Comprido;2;0;0;64;1000;692;
Apartment;Barra da Tijuca;3;2;2;237;5000;1967;
Commercial Set;Centro;0;0;0;414;16000;7000;1494
Commercial Set;Ipanema;0;2;0;153;26000;6300;11613
Condominuim House;Freguesia (Jacarepaguá);4;4;4;200;2900;550;120
House;Campo Grande;4;2;0;120;1600;;
Shopping Store/Commercial Center;Copacabana;0;0;0;29;1500;560;101
Apartment;Centro;2;0;0;63;1300;526;21
Commercial Set;Jacarepaguá;0;5;0;108;4000;1725;2600
Flat;Barra da Tijuca;1;1;1;55;5500;1250;2150
House;Barra da Tijuca;1;0;1;55;1600;;
Commercial Set;Barra da Tijuca;0;1;0;33;1600;1050;230
Apartment;Barra da Tijuca;3;0;1;110;3200;1311;271
Commercial Set;Centro;0;3;0;128;7680;2535;784
Apartment;Recreio dos Bandeirantes;1;1;1;77;1900;471;
Apartment;Pechincha;1;1;1;40;850;442;15
Commercial Set;Curicica;0;1;0;18;880;298;
Commercial House;Jardim Botânico;0;0;0;260;25000;;
Commercial Set;Centro;0;0;0;30;700;633;101
Apartment;Méier;3;1;1;104;1800;815;182
Commercial House;Lagoa;6;2;0;500;23000;;2670
Apartment;Cosme Velho;2;2;0;106;3600;1220;200
Apartment;Sampaio;2;0;0;78;750;298;13
Apartment;Vargem Pequena;2;1;1;70;1200;650;120
Apartment;Recreio dos Bandeirantes;3;2;1;105;2000;815;206
Apartment;Tijuca;3;3;2;260;4000;977;2232
Shed/Warehouse;Anil;0;10;0;1700;15000;;3420
Apartment;Barra da Tijuca;4;3;4;294;8000;3263;687
Apartment;Flamengo;4;1;1;182;4900;1463;508
Apartment;Botafogo;1;0;0;44;3700;850;125
Apartment;Botafogo;2;1;0;64;3400;917;152
Apartment;Copacabana;3;2;1;115;4000;1400;
Apartment;Barra da Tijuca;4;2;3;157;4509;2230;385
Apartment;Ipanema;1;0;0;60;4000;500;200
Apartment;Barra da Tijuca;2;1;1;90;2300;1300;
Commercial Set;Centro;0;0;0;35;1200;480;118
Apartment;Ipanema;2;1;1;65;5500;990;250
Apartment;Barra da Tijuca;4;3;4;227;6500;2800;530
Apartment;Barra da Tijuca;2;1;1;88;2400;960;98
Commercial Set;Centro;0;0;0;42;600;412;83
Apartment;Vila Isabel;2;2;1;67;2000;745;70
Apartment;Leblon;1;0;0;50;4400;1898;270
Condominuim House;Itanhangá;4;4;2;700;17000;1600;1435
Flat;Copacabana;1;1;1;38;5500;1100;99
Commercial Set;Centro;0;0;0;150;9000;5452;1215
Apartment;Ramos;1;1;0;47;750;470;
Apartment;Leblon;3;1;1;164;10000;2600;450
Commercial Set;Freguesia (Jacarepaguá);0;1;0;22;600;377;
Apartment;Botafogo;3;2;0;263;5500;2040;575
Apartment;Grajaú;2;0;0;47;1150;448;
Apartment;Copacabana;1;0;0;37;1500;319;67
Shed/Warehouse;Olaria;0;0;0;4000;50000;;1560
Apartment;Leblon;3;2;1;120;7000;1691;404
Commercial Set;Barra da Tijuca;0;6;0;340;19000;6800;1400
Apartment;Copacabana;3;1;1;163;4800;1708;261
Apartment;Leme;3;1;0;100;4600;930;213
Apartment;Copacabana;1;0;1;30;1700;360;22
Apartment;Tijuca;2;0;0;75;2100;482;88
Apartment;Recreio dos Bandeirantes;2;1;1;91;1600;776;160
Apartment;Flamengo;3;0;0;80;2400;650;
Apartment;Santa Teresa;1;0;0;50;1450;400;
Commercial Set;Centro;0;0;0;33;800;303;84
Apartment;Botafogo;2;1;1;98;3600;1116;199
Apartment;Copacabana;3;1;0;130;2950;1260;188
Condominuim House;Barra da Tijuca;4;1;1;439;8500;1350;950
Apartment;Leblon;3;1;0;101;4500;1350;350
Apartment;Barra da Tijuca;5;4;3;400;7000;4700;
Apartment;Recreio dos Bandeirantes;2;1;0;80;2600;1680;140
Apartment;Campo Grande;2;1;0;50;1000;295;
Apartment;Méier;3;2;0;96;2000;600;
Commercial Set;Engenho de Dentro;0;0;0;70;2990;;196
Apartment;Botafogo;2;1;1;70;6000;900;
Apartment;Lagoa;4;0;1;180;6500;1520;300
Commercial Set;Freguesia (Jacarepaguá);0;0;0;100;3500;1;
Apartment;Ipanema;4;2;1;162;6000;2871;550
Apartment;Freguesia (Jacarepaguá);2;0;0;40;1000;150;
Condominuim House;Anil;3;2;1;207;4500;563;255
Apartment;Recreio dos Bandeirantes;3;1;1;137;2500;700;
Village House;Maracanã;3;0;0;80;2200;150;16
Apartment;Jardim Botânico;3;1;0;100;2900;1087;176
Apartment;Lagoa;4;3;4;380;20000;3220;1358
Commercial Set;Barra da Tijuca;0;1;0;26;1600;380;197
Apartment;Lagoa;3;2;3;125;5400;1600;480
Commercial Set;Barra da Tijuca;0;1;0;33;1500;;
Commercial Set;Centro;0;0;0;100;2400;840;340
Apartment;Botafogo;3;1;1;101;5600;2290;519
Apartment;Campo Grande;2;1;0;50;1050;;
Apartment;Laranjeiras;4;2;1;147;5000;1550;300
Apartment;Jardim Guanabara;3;2;1;104;2700;700;160
Commercial Set;Centro;0;0;0;35;700;49850;12750
Commercial Set;São Cristóvão;0;1;0;32;1100;414;
Apartment;Barra da Tijuca;2;1;2;100;2709;1140;
Apartment;Copacabana;2;0;1;110;3900;826;364
Commercial Set;Centro;0;3;0;681;27240;8705;2290
Apartment;Piedade;2;0;0;52;1600;420;
Condominuim House;Taquara;3;0;1;195;2500;150;
Apartment;Lagoa;2;1;1;85;3850;785;185
Apartment;Ipanema;3;2;1;130;7200;1700;520
Commercial Set;Centro;0;0;0;147;6000;3750;900
Apartment;Recreio dos Bandeirantes;3;2;1;105;2500;662;
Apartment;Laranjeiras;3;1;1;145;3995;1600;
Apartment;Botafogo;1;0;0;45;1990;480;20
Commercial Set;Copacabana;0;0;0;30;990;609;
Apartment;Copacabana;3;0;0;76;3500;868;103
Store/Hall;Barra da Tijuca;0;3;0;235;12500;4780;4075
Commercial Set;Centro;0;0;0;124;4500;1595;544
Apartment;Recreio dos Bandeirantes;2;1;2;95;2500;862;100
Commercial Set;Barra da Tijuca;0;1;0;24;800;297;56
Apartment;Recreio dos Bandeirantes;4;3;2;181;3200;1080;4039
Apartment;Praça da Bandeira;2;0;0;57;1200;590;60
Commercial Set;Centro;0;0;0;212;7500;4600;1260
Apartment;Ipanema;1;0;0;45;2500;505;100
Apartment;Laranjeiras;2;0;1;80;1800;1200;96
Apartment;Copacabana;2;0;1;140;7800;1300;
Apartment;Copacabana;1;0;0;35;2000;574;24
Apartment;Barra da Tijuca;2;2;1;105;4800;2000;680
Apartment;Barra da Tijuca;2;1;1;100;2700;1150;
House;Cosmos;1;1;0;36;500;;
Kitchenette;Botafogo;1;0;0;25;1100;550;250
Apartment;Copacabana;3;1;0;105;2700;1125;232
Commercial Set;Centro;0;0;0;354;25000;7150;
Apartment;Freguesia (Jacarepaguá);4;4;2;260;2700;1845;
Kitchenette;Gardênia Azul;1;0;0;25;490;;
Commercial Set;Jacarepaguá;0;0;0;21;500;410;52
Commercial Set;Centro;0;0;0;161;3750;550;
Apartment;Copacabana;2;0;0;60;4500;700;1500
Apartment;Botafogo;2;1;1;53;3000;1300;222
Commercial Set;Recreio dos Bandeirantes;0;0;0;226;15900;;
Apartment;Cosmos;2;1;0;45;400;217;
Apartment;Jacarepaguá;2;1;1;82;2350;543;135
Kitchenette;Irajá;1;0;0;20;500;;
Condominuim House;São Cristóvão;2;0;2;120;2000;;
Apartment;Gávea;2;1;1;75;3300;800;220
Apartment;Recreio dos Bandeirantes;3;1;1;85;2300;800;140
House;Jacaré;2;1;0;80;1500;;150
Kitchenette;Santa Teresa;1;0;0;30;1000;200;
Apartment;Leblon;2;2;1;90;2800;1373;457
Apartment;Taquara;2;0;0;52;900;526;38
Apartment;Recreio dos Bandeirantes;2;1;1;65;1900;820;136
Apartment;Tijuca;3;0;0;92;1600;805;160
Apartment;São Cristóvão;2;1;1;55;1350;580;34
Apartment;Ipanema;2;1;2;83;12000;4190;511
Apartment;Ipanema;1;1;1;65;6000;;
Apartment;Laranjeiras;3;1;1;120;3200;1600;203
Shed/Warehouse;Campo Grande;0;0;0;400;15000;;
Apartment;Barra da Tijuca;2;1;1;60;2809;1000;
Commercial Set;Barra da Tijuca;0;38;0;1588;140000;27000;5600
Apartment;Ipanema;2;2;2;220;17000;1800;1400
Commercial Set;Campo Grande;0;0;0;25;1000;550;
Commercial Set;Centro;0;0;0;92;1000;1060;264
Commercial Set;Centro;0;0;0;156;2000;2500;570
Apartment;Copacabana;3;3;3;220;8000;2200;350
House;Campo Grande;1;1;0;61;830;;
Apartment;Icaraí;3;1;1;166;2950;;
Condominuim House;Barra da Tijuca;5;6;5;560;28000;2200;
Apartment;Freguesia (Jacarepaguá);3;2;1;135;2250;900;207
Apartment;Copacabana;4;2;2;389;11800;4133;1153
Apartment;Campo Grande;2;1;0;65;700;240;
Condominuim House;Campinho;2;1;1;75;1600;40;
Apartment;Laranjeiras;2;2;1;70;2400;1350;145
Commercial Set;Barra da Tijuca;0;1;0;30;1850;900;150
Apartment;Freguesia (Jacarepaguá);2;1;0;59;1500;532;
Commercial Set;Copacabana;0;0;0;41;1100;635;197
Flat;Ipanema;2;1;1;85;5000;2200;300
Commercial Set;Centro;0;26;0;999;74925;9780;3029
Apartment;Honório Gurgel;2;1;0;48;650;250;
Commercial Set;Barra da Tijuca;0;16;0;504;24500;19000;
Shopping Store/Commercial Center;Centro;0;0;0;37;8000;;160
Apartment;São Conrado;3;2;1;150;4000;2046;480
Apartment;Flamengo;2;0;0;81;2500;595;136
Apartment;Barra da Tijuca;2;2;1;119;4500;1850;580
Apartment;Leblon;3;1;1;170;6700;1900;350
Condominuim House;Recreio dos Bandeirantes;4;2;4;316;4500;990;
Apartment;Ipanema;4;5;4;375;35000;7000;3500
Apartment;Campo Grande;3;1;0;50;900;;
Shed/Warehouse;Jacaré;0;20;0;780;7500;;2065
Commercial Set;Jardim Botânico;0;1;0;43;4000;195;2385
Commercial Set;Centro;0;0;0;60;2750;1300;
Apartment;Lagoa;2;1;1;139;6500;1200;
Condominuim House;Barra da Tijuca;4;6;4;950;20000;2650;
Commercial Set;Centro;0;0;0;30;500;657;
Apartment;Centro;1;0;0;40;1000;300;20
Apartment;Freguesia (Jacarepaguá);2;1;1;69;1600;850;
Apartment;Copacabana;1;0;0;70;2100;650;82
Store/Hall;Encantado;0;0;0;30;1000;;
Apartment;Lagoa;3;2;1;350;17000;1700;580
Village House;Olaria;1;0;0;40;800;;
Apartment;Andaraí;2;1;0;70;1700;1000;
Apartment;Barra da Tijuca;3;2;3;120;3200;1600;200
Apartment;Ipanema;2;0;0;115;2700;1570;175
Apartment;Copacabana;2;0;0;120;4000;1408;196
Apartment;Botafogo;3;2;1;105;3200;1312;239
House;Curicica;3;5;1;150;2500;;1200
Apartment;Vila Isabel;1;1;0;75;1500;600;80
Apartment;Leblon;2;0;0;70;5000;350;400
Apartment;Lagoa;2;1;0;72;2100;1075;230
Apartment;Copacabana;3;0;1;100;8000;;
Commercial Set;Ilha do Governador;0;0;0;28;600;90;50
Flat;Barra da Tijuca;1;1;0;72;1800;1282;
Apartment;Leblon;2;0;1;96;6000;1200;275
Apartment;Leblon;2;0;0;57;2800;680;
Apartment;Laranjeiras;3;1;1;130;3150;721;163
Apartment;Leblon;3;1;1;150;8000;1540;6000
Apartment;Ipanema;3;0;0;120;4900;1200;340
Commercial House;Méier;0;0;0;30;900;450;56
Apartment;Tijuca;2;0;0;68;1290;670;74
Apartment;Copacabana;4;1;1;230;5000;1850;3500
Commercial Set;Ipanema;0;0;0;130;12000;1800;708
Apartment;Barra da Tijuca;3;2;2;140;5809;1700;700
Commercial Set;Barra da Tijuca;0;8;0;240;15000;3600;500
Apartment;Leblon;2;2;1;94;7500;1200;230
Condominuim House;Barra da Tijuca;6;6;6;1200;25000;1650;2900
Apartment;Recreio dos Bandeirantes;3;4;3;178;3250;1100;4922
Commercial Set;Centro;0;0;0;219;23000;;
Apartment;Freguesia (Jacarepaguá);3;2;1;132;1800;1197;860
Apartment;Catete;2;0;0;64;1800;800;
Store/Hall;Centro;0;10;0;860;9800;;80
Apartment;Urca;2;0;1;65;3200;350;350
Apartment;Leblon;3;1;0;240;8000;2000;500
Apartment;Barra da Tijuca;1;1;0;68;1700;1002;1567
Apartment;Barra da Tijuca;2;2;1;73;2750;1312;135
Flat;Barra da Tijuca;2;1;2;99;3500;5613;510
Apartment;Copacabana;3;0;3;110;4000;840;304
Village House;Tijuca;2;0;0;75;2200;;
Apartment;Todos os Santos;2;0;0;52;900;380;
Whole Building;São Cristóvão;1;40;0;5583;330000;;27053070
Commercial Set;Barra da Tijuca;0;1;0;37;900;700;1360
Apartment;Recreio dos Bandeirantes;3;3;0;224;3500;1080;448
Commercial Set;Barra da Tijuca;0;1;0;80;3000;1700;1723
Apartment;Vista Alegre;2;1;0;70;1200;170;
Commercial Set;Jacarepaguá;0;1;0;25;375;433;
Apartment;Barra da Tijuca;3;3;2;160;10000;2300;345
Apartment;Leblon;3;2;1;180;8400;2400;439
Shed/Warehouse;Jacarepaguá;0;6;0;613;9000;;1580
Shopping Store/Commercial Center;Centro;0;0;0;37;7500;;578
Apartment;Campo Grande;2;1;0;52;500;90;
Apartment;Recreio dos Bandeirantes;2;2;1;90;2500;520;210
Apartment;Jardim Botânico;3;1;1;125;3800;950;
Apartment;Copacabana;1;0;0;40;1200;705;69
Apartment;Leblon;4;2;1;172;11500;2400;584
Apartment;Ipanema;2;1;0;65;3600;1000;175
Apartment;Campo Grande;2;1;0;65;850;75;
Commercial Set;Jardim Botânico;0;1;0;35;2000;1076;260
Village House;Riachuelo;2;0;0;43;1000;;120
House;Inhoaíba;1;0;0;50;600;;
Commercial Set;Centro;0;0;0;47;1450;1321;
Apartment;Leblon;2;1;0;70;2800;630;98
Apartment;Vaz Lobo;1;1;0;39;600;175;
Apartment;Taquara;2;1;1;59;1000;514;
Apartment;Bento Ribeiro;2;1;0;69;1100;15;
Apartment;Méier;3;1;1;101;1900;1123;140
Apartment;Copacabana;1;0;0;50;2000;590;72
Store/Hall;Centro;0;0;0;200;7571;484;330
Apartment;Copacabana;4;2;2;389;11800;4133;1153
Apartment;Barra da Tijuca;1;1;1;60;2300;1769;360
Apartment;Copacabana;3;0;2;180;12500;1600;400
Shed/Warehouse;Centro;0;0;0;700;8000;;630
Apartment;Leme;2;1;1;83;5500;630;
Condominuim House;Barra da Tijuca;5;3;4;500;8500;900;
Apartment;Gávea;3;1;1;90;4500;1400;295
Commercial Set;Barra da Tijuca;0;19;0;841;79956;19358;
Apartment;Ipanema;3;1;1;160;20000;2100;6147
Apartment;Ipanema;3;1;1;152;7400;1720;
Apartment;Copacabana;3;1;0;100;3200;690;174
Apartment;São Francisco Xavier;2;1;0;101;2000;431;124
Kitchenette;Flamengo;1;0;0;22;1000;378;
Apartment;Lagoa;4;2;4;388;20000;3000;
Shed/Warehouse;Vargem Pequena;0;0;0;1650;32000;;
Apartment;Copacabana;3;1;0;120;4500;986;240
Apartment;Abolição;2;1;0;53;1200;400;
Apartment;Recreio dos Bandeirantes;1;1;1;52;2100;1200;130
House;Pechincha;5;3;1;300;3000;;290
Apartment;Pechincha;1;1;0;45;780;370;30
Apartment;Humaitá;1;0;0;60;1900;1232;175
Commercial Set;Centro;0;0;0;710;29800;4900;2000
Apartment;Copacabana;2;0;0;111;3200;1500;200
Apartment;Flamengo;2;1;0;64;2000;660;96
Apartment;Jardim Botânico;1;1;1;95;2600;1007;209
Apartment;Barra da Tijuca;3;2;1;127;4200;1700;300
Apartment;Tijuca;3;1;1;165;2650;1308;
Apartment;Recreio dos Bandeirantes;3;2;1;81;2000;480;180
Apartment;Botafogo;1;0;0;38;1390;405;
Store/Hall;Tijuca;0;0;0;38;750;345;110
Commercial Set;Ipanema;0;4;0;323;29000;7705;2000
Apartment;Recreio dos Bandeirantes;3;3;2;149;3000;680;293
Apartment;Recreio dos Bandeirantes;3;1;1;92;2500;840;195
House;Méier;4;1;0;180;2500;;80
Apartment;São Conrado;3;1;1;114;3200;1280;1900
Apartment;Campo Grande;2;1;0;53;800;265;
Commercial Set;Centro;0;0;0;210;3300;2700;650
Commercial Set;Centro;0;0;0;2510;225900;60340;12876
Commercial Set;Barra da Tijuca;0;1;0;137;3000;1500;1345
Apartment;Barra da Tijuca;4;3;2;239;7500;1500;350
Condominuim House;São Cristóvão;2;1;2;100;2100;170;66
Flat;Barra da Tijuca;2;1;0;68;3000;1400;300
Apartment;Leblon;2;1;1;85;5000;1100;299
Apartment;Copacabana;1;0;0;35;3000;;
Apartment;Ipanema;2;1;1;75;3000;980;100
Apartment;Barra da Tijuca;4;3;4;403;160000;3714;2000
Apartment;Grajaú;3;2;1;90;1700;900;87
Kitchenette;Glória;1;0;0;32;1250;320;
Apartment;Cachambi;2;1;1;75;1400;715;
Apartment;Centro;3;0;0;76;1700;350;
Apartment;Botafogo;3;2;1;120;2800;1400;300
Apartment;Campo Grande;4;2;2;140;2400;750;
Apartment;Copacabana;1;0;0;41;2000;647;24
Apartment;Barra da Tijuca;3;2;1;120;2900;1500;310
Commercial Set;Pechincha;0;1;0;27;830;555;81
Apartment;Barra da Tijuca;1;0;1;60;1500;1100;245
Flat;Barra da Tijuca;1;1;0;60;3700;1300;250
Apartment;Barra da Tijuca;2;1;1;75;3000;1300;1332
Apartment;Tijuca;2;1;0;70;1600;471;
Apartment;Ipanema;2;0;0;45;3000;550;22
Apartment;Sampaio;1;0;0;36;650;293;14
Apartment;Botafogo;1;1;0;55;2600;800;150
Apartment;Recreio dos Bandeirantes;2;2;1;85;1700;591;197
Apartment;Recreio dos Bandeirantes;4;2;4;390;5000;987;
Apartment;Ipanema;3;0;1;174;12000;2010;
Commercial Set;Barra da Tijuca;0;2;0;44;1100;1170;224
Apartment;Vila Isabel;2;0;0;70;1500;310;
Commercial Set;São Cristóvão;0;1;0;32;900;754;
Apartment;Copacabana;1;0;0;25;1600;400;20
Apartment;Ipanema;3;1;1;170;9500;1650;440
Apartment;Barra da Tijuca;3;2;1;162;5000;1200;543
Apartment;Lagoa;3;2;1;376;22000;4870;1237
Apartment;Barra da Tijuca;3;3;3;225;8000;2700;400
Condominuim House;Recreio dos Bandeirantes;3;2;3;150;3200;1000;
Apartment;Copacabana;3;1;0;110;3750;1115;
Apartment;Copacabana;3;2;1;220;6000;1900;5200
Flat;Leblon;2;1;2;85;6500;2000;280
Condominuim House;Recreio dos Bandeirantes;4;2;3;135;2800;560;
Condominuim House;Itanhangá;5;5;5;500;15000;1800;650
Condominuim House;Vargem Grande;3;2;1;100;2100;415;85
Apartment;Recreio dos Bandeirantes;2;1;1;94;2100;600;200
Condominuim House;Recreio dos Bandeirantes;4;10;3;480;15000;590;
Commercial Set;Centro;0;11;0;428;32100;8969;2721
Apartment;Copacabana;3;1;2;250;12000;1020;
Shed/Warehouse;Bonsucesso;0;0;0;4580;24000;;5331
Commercial Set;Barra da Tijuca;0;1;0;55;1500;700;241
Kitchenette;Copacabana;1;0;0;36;1600;610;54
Commercial Set;Barra da Tijuca;0;5;0;150;8000;4500;1350
Whole Building;Centro;0;0;0;637;12000;;5922
Apartment;Pechincha;1;1;0;68;1150;554;13
Apartment;Ipanema;3;2;1;150;6300;2200;495
Apartment;Cachambi;1;1;0;36;600;407;
Commercial Set;Centro;0;0;0;677;40625;14293;3216
Commercial Set;Barra da Tijuca;0;1;0;34;1500;12523;230
Apartment;Ipanema;4;1;3;200;8000;2400;370
House;Irajá;2;1;1;60;1150;;
Apartment;Praça da Bandeira;1;0;0;40;900;435;
House;Jardim Botânico;7;6;4;845;35000;;
Apartment;Flamengo;1;0;0;45;1100;514;67
Commercial Set;Centro;0;0;0;72;3600;435;115
Flat;Barra da Tijuca;1;1;1;60;2000;2821;555
Apartment;Barra da Tijuca;2;1;1;70;1800;1300;
Apartment;Tijuca;2;1;1;94;2000;650;
Apartment;Copacabana;1;0;0;39;2000;528;
Apartment;Lagoa;3;2;1;118;4900;1188;452
Shed/Warehouse;Penha Circular;0;0;0;3276;15000;;4000
House;Turiaçu;2;1;0;45;700;;
Commercial Set;Vicente de Carvalho;0;1;0;27;1300;670;
Apartment;Riachuelo;2;0;0;43;900;;16
Store/Hall;Centro;0;0;0;925;70000;13700;7800
Apartment;Andaraí;2;1;0;71;1300;550;108
Condominuim House;Barra da Tijuca;4;4;2;600;30000;1100;1399
Apartment;Copacabana;3;0;0;98;3000;848;141
Apartment;Leblon;2;1;1;100;5000;1250;
Apartment;Flamengo;1;1;0;30;1600;490;25
Apartment;Copacabana;3;0;0;97;2100;870;
Apartment;Leblon;2;0;0;62;2650;447;174
Apartment;Barra da Tijuca;4;4;3;481;22000;7937;2235
Apartment;Pechincha;2;1;1;110;1100;451;139
Commercial Set;Barra da Tijuca;1;1;0;30;900;915;270
Apartment;Barra da Tijuca;2;1;0;58;1300;698;
Apartment;Península;4;3;4;219;10000;3000;610
Apartment;Cachambi;1;0;0;30;600;100;13
Condominuim House;Barra da Tijuca;4;6;4;900;17000;1200;22000
Apartment;Botafogo;3;0;0;120;2600;800;120
Commercial Set;Centro;0;0;0;315;14175;5613;1561
